Reference,Author(s) Year,Control,Current genus name,Current species name,Ocean,TOTAL N,PO4,TOTAL N/P,Response level,SD,SE,N,Exposure.in.days,Measurement,Response Type
NU04,Beraud et al 2013,control,Turbinaria,reniformis,Indian,0.7,0.5,1.4,1.113326191,0.129754353,0.058027911,5,35,mg/cm^2/d,Calcification Rate
NU04,Beraud et al 2013,exp,Turbinaria,reniformis,Indian,3.4,0.5,6.8,0.916301192,0.1961403,0.087716609,5,35,mg/cm^2/d,Calcification Rate
NU13a1,Devlin 2015 Chapter 4,control,Pocillopora,damicornis,Atlantic,1.5,0,1.5,0.412050068,0.543529925,0.128111232,18,30,mg/cm^2/d,Calcification Rate
NU13a1,Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,10,0,10,0.446541554,0.480814934,0.113329167,18,30,mg/cm^2/d,Calcification Rate
NU13a1,Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,20,0,20,0.412050068,0.43377869,0.102242618,18,30,mg/cm^2/d,Calcification Rate
NU13a1,Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,50,0,50,0.341835258,0.402421195,0.094851585,18,30,mg/cm^2/d,Calcification Rate
NU13a1,Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,10,0,10,0.373863066,0.21950247,0.051737228,18,30,mg/cm^2/d,Calcification Rate
NU13a1,Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,20,0,20,0.311039289,0.130656232,0.030795969,18,30,mg/cm^2/d,Calcification Rate
NU13a1,Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,50,0,50,0.216187704,0.156787478,0.036955163,18,30,mg/cm^2/d,Calcification Rate
NU13c1,Devlin 2015 Chapter 4,control,Pocillopora,damicornis,Atlantic,1.5,0,1.5,0.608705301,0.341511986,0.098586018,12,21,mg/cm^2/d,Calcification Rate
NU13c1,Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,20,0,20,0.444142531,0.067240702,0.019410719,12,21,mg/cm^2/d,Calcification Rate
NU13c2,Devlin 2015 Chapter 4,control,Pocillopora,damicornis,Atlantic,1.5,0,1.5,1.248142518,0.136589181,0.0394299,12,21,mg/cm^2/d,Calcification Rate
NU13c2,Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,20,0,20,1.135103195,0.72062568,0.208026715,12,21,mg/cm^2/d,Calcification Rate
NU13c3,Devlin 2015 Chapter 4,control,Pocillopora,damicornis,Atlantic,1.5,0,1.5,0.4003476,0.27357086,0.078973105,12,21,mg/cm^2/d,Calcification Rate
NU13c3,Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,20,0,20,0.45706351,0.01000869,0.00288926,12,21,mg/cm^2/d,Calcification Rate
NU14a,Devlin 2015 Chapter 5,control,Pocillopora,damicornis,Atlantic,1.5,0,1.5,0.418428899,0.129143328,0.052722543,6,32,mg/cm^2/d,Calcification Rate
NU14a,Devlin 2015 Chapter 5,exp,Pocillopora,damicornis,Atlantic,20,0,20,0.417782738,0.102669943,0.041914829,6,32,mg/cm^2/d,Calcification Rate
NU14a,Devlin 2015 Chapter 5,exp,Pocillopora,damicornis,Atlantic,20,0,20,0.314466634,0.03099411,0.012653293,6,32,mg/cm^2/d,Calcification Rate
NU14b,Devlin 2015 Chapter 5,control,Pocillopora,damicornis,Atlantic,1.5,0,1.5,0.213089014,0.04972077,0.020298419,6,32,mg/cm^2/d,Calcification Rate
NU14b,Devlin 2015 Chapter 5,exp,Pocillopora,damicornis,Atlantic,20,0,20,0.208568288,0.056177576,0.022934399,6,32,mg/cm^2/d,Calcification Rate
NU14b,Devlin 2015 Chapter 5,exp,Pocillopora,damicornis,Atlantic,20,0,20,0.182738662,0.092338573,0.037697064,6,32,mg/cm^2/d,Calcification Rate
NU14c,Devlin 2015 Chapter 5,control,Pocillopora,damicornis,Atlantic,1.5,0,1.5,0.79027175,0.255843735,0.104447768,6,32,mg/cm^2/d,Calcification Rate
NU14c,Devlin 2015 Chapter 5,exp,Pocillopora,damicornis,Atlantic,20,0,20,0.686513662,0.281428349,0.114892642,6,32,mg/cm^2/d,Calcification Rate
NU14c,Devlin 2015 Chapter 5,exp,Pocillopora,damicornis,Atlantic,20,0,20,0.716361978,0.434933629,0.177560911,6,32,mg/cm^2/d,Calcification Rate
NU14d,Devlin 2015 Chapter 5,control,Pocillopora,damicornis,Atlantic,1.5,0,1.5,0.655243312,0.126501034,0.051643831,6,32,mg/cm^2/d,Calcification Rate
