Reference,Study,Control,Genus,Species,Ocean,NO3,NH4,TOTAL N,PO4,TOTALN/P,Response level,SD,SE,N,pulse.press,Exposure in days,Response type,Measurement,,,,,,,
NU03,1_Bednarz et al 2020,control,Stylophora,pistillata,Indian,0.5,0.2,0.7,0.2,3.5,3.277419355,1.21183,0.605915,4,press,42,ChlA Concentration,ug/cm^2,,,,,,,
NU03,1_Bednarz et al 2020,exp,Stylophora,pistillata,Indian,0.5,4.2,4.7,0.2,23.5,4.352688172,0.7609165,0.38045825,4,press,42,ChlA Concentration,ug/cm^2,,,,,,,
NU45,3_Koop et al 2001,control,Stylophora,pistillata,Pacific,2.94,0.65,3.59,0.2,17.95,0.6183,0.2897721,0.1673,3,pulse,252,ChlA Concentration,ug/cm^2,,,,,,,
NU45,3_Koop et al 2001,exp,Stylophora,pistillata,Pacific,2.94,36.2,39.14,0.2,195.7,0.9072,0.432493087,0.2497,3,pulse,252,ChlA Concentration,ug/cm^2,,,,,,,
NU45,3_Koop et al 2001,exp,Stylophora,pistillata,Pacific,2.94,0,2.94,5.14,0.571984436,0.6209,0.316965298,0.183,3,pulse,252,ChlA Concentration,ug/cm^2,,,,,,,
NU45,3_Koop et al 2001,exp,Stylophora,pistillata,Pacific,2.94,36.2,39.14,5.14,7.614785992,0.79215,0.328310231,0.18955,3,pulse,252,ChlA Concentration,ug/cm^2,,,,,,,
NU55a,4_Marubini and Thake 1999,control,Porites,porites,Atlantic,0.2,0,0.2,0.05,4,13.08,1.075174404,0.34,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU55a,4_Marubini and Thake 1999,exp,Porites,porites,Atlantic,20,0,20,0.05,400,22.2,7.051879182,2.23,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU55a,4_Marubini and Thake 1999,exp,Porites,porites,Atlantic,0.2,20,20.2,0.05,404,23.65,6.767274193,2.14,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU55b,4_Marubini and Thake 1999,control,Porites,porites,Atlantic,0.2,0,0.2,0.05,4,12.98,4.458811501,1.41,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU55b,4_Marubini and Thake 1999,exp,Porites,porites,Atlantic,20,0,20,0.05,400,21.76,5.502363129,1.74,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU55b,4_Marubini and Thake 1999,exp,Porites,porites,Atlantic,0.2,20,20.2,0.05,404,22.45,5.660477012,1.79,10,press,32,ChlA Concentration,ug/cm^2,,,,,,,
NU59,5_Muller-Parker et al 1994,control,Pocillopora,damicornis,Pacific,0,0,2,0,2,2.0795,5.881714206,2.0795,8,press,56,ChlA Concentration,ug/cm^2,,,,,,,
NU59,5_Muller-Parker et al 1994,exp,Pocillopora,damicornis,Pacific,0,20,20,0,20,6.6055,9.341587686,6.6055,2,press,56,ChlA Concentration,ug/cm^2,,,,,,,
NU59,5_Muller-Parker et al 1994,exp,Pocillopora,damicornis,Pacific,0,20,20,0,20,4.0673,5.752030822,4.0673,2,press,56,ChlA Concentration,ug/cm^2,,,,,,,
NU60a,6_Muscatine et al 1989,control,Stylophora,pistillata,Indian,0,0,0,0,0,2.61,1.749371316,1.01,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60a,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,20,20,0,20,6.93,1.991858429,1.15,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60a,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,20,20,2,10,7.34,2.286307066,1.32,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60a,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,0,0,2,0,3.03,0.727461339,0.42,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60b,6_Muscatine et al 1989,control,Stylophora,pistillata,Indian,0,0,0,0,0,2.96,1.939896904,1.12,3,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60b,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,20,20,0,20,3.96,1.329360749,0.94,2,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60b,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,20,20,2,20,3.71,0.593969696,0.42,2,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU60b,6_Muscatine et al 1989,exp,Stylophora,pistillata,Indian,0,0,0,2,0,4.12,3.153696244,2.23,2,press,14,ChlA Concentration,ug/cm^2,,,,,,,
NU76,7_Stambler 1997,control,Stylophora,pistillata,Indian,0,1,1,0,1,11.82353,2.79412,1.39706,4,press,35,ChlA Concentration,ug/cm^2,,,,,,,
NU76,7_Stambler 1997,exp,Stylophora,pistillata,Indian,0,20,20,0,20,13.90,4.94118,2.47059,4,press,35,ChlA Concentration,ug/cm^2,,,,,,,
NU77a,8_Stambler 1994,control,Pocillopora,damicornis,Atlantic,0,2,2,0,2,11.07,2.8,1.616580754,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77a,8_Stambler 1994,exp,Pocillopora,damicornis,Atlantic,0,1,1,0,1,9.3,1.83,1.056550993,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77a,8_Stambler 1994,exp,Pocillopora,damicornis,Atlantic,0,20,20,0,20,17.36,5.44,3.140785464,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77a,8_Stambler 1994,exp,Pocillopora,damicornis,Atlantic,0,50,50,0,50,24.78,11.48,6.62798109,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77b,8_Stambler 1994,control,Montipora,verrucosa,Atlantic,0,2,2,0,2,7.45,4.19,2.419097628,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77b,8_Stambler 1994,exp,Montipora,verrucosa,Atlantic,0,1,1,0,1,1.87,0.99,0.571576766,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77b,8_Stambler 1994,exp,Montipora,verrucosa,Atlantic,0,20,20,0,20,13.22,0.28,0.197989899,2,press,21,ChlA Concentration,ug/cm^2,,,,,,,
NU77b,8_Stambler 1994,exp,Montipora,verrucosa,Atlantic,0,50,50,0,50,19.45,8.23,4.751592715,3,press,21,ChlA Concentration,ug/cm^2,,,,,,,
