Reference,Study,Control,Genus,Species,Ocean,NO3,NH4,TOTAL N,PO4,TOTALN/P,Response level,SD,SE,N,Response type,Measurement,Exposure in days,,,,,,,,,
NU03,1_Bednarz et al 2020,control,Stylophora,pistillata,Indian,0.50,0.2,0.70,0.2,3.5,0.979537954,0.261661,0.1308305,4,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),42,,,,,,,,,
NU03,1_Bednarz et al 2020,exp,Stylophora,pistillata,Indian,0.50,4.00,4.50,0.2,22.5,0.658745875,0.337348,0.168674,4,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),42,,,,,,,,,
NU04,2_Beraud et al 2013,control,Turbinaria,reniformis,Indian,0.00,0.70,0.70,0.5,1.4,0.2848,0.084076156,0.0376,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),35,,,,,,,,,
NU04,2_Beraud et al 2013,exp,Turbinaria,reniformis,Indian,0.00,3.40,3.40,0.5,6.8,0.2072,0.141319496,0.0632,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),35,,,,,,,,,
NU10,3_Courtial et al 2018,control,Pocillopora,damicornis,Pacific,0.50,0,0.50,0.1,5,6.090225639,1.007507821,0.450571195,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),63,,,,,,,,,
NU10,3_Courtial et al 2018,exp,Pocillopora,damicornis,Pacific,0.10,0,0.10,0.05,2,4,1.26315789,0.564901382,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),63,,,,,,,,,
NU10,3_Courtial et al 2018,exp,Pocillopora,damicornis,Pacific,3.00,0,3.00,0.5,6,7.954887218,0.977443602,0.437126068,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),63,,,,,,,,,
NU19,4_Ezzat et al 2015b,control,Turbinaria,reniformis,Indian,0.50,0,0.50,0.1,5,0.246,0.056338264,0.023,6,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),21,,,,,,,,,
NU19,4_Ezzat et al 2015b,exp,Turbinaria,reniformis,Indian,2.00,0,2.00,0.1,20,0.308,0.149418874,0.061,6,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),21,,,,,,,,,
NU19,4_Ezzat et al 2015b,exp,Turbinaria,reniformis,Indian,2.00,0,2.00,0.6,3.333333333,0.331,0.149418874,0.061,6,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),21,,,,,,,,,
NU26,5_Ferrier-Pages et al 2001,control,Stylophora,pistillata,Indian,1.00,0.4,1.40,0.2,7,1.23,0.08,0.032659863,6,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),21,,,,,,,,,
NU26,5_Ferrier-Pages et al 2001,exp,Stylophora,pistillata,Indian,3.00,0.4,3.40,0.2,17,1.1,0.13,0.053072278,6,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),21,,,,,,,,,
NU26,5_Ferrier-Pages et al 2001,exp,Stylophora,pistillata,Indian,3.00,0.4,3.40,0.2,17,1.04,0.17,0.069402209,6,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),21,,,,,,,,,
NU45,6_Koop et al 2001,control,Stylophora,pistillata,Pacific,2.94,0.65,3.59,0.20,17.95,0.71,0.242487113,0.14,3,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),252,,,,,,,,,
NU45,6_Koop et al 2001,exp,Stylophora,pistillata,Pacific,2.94,36.20,39.14,0.20,195.7,1.23,1.195115057,0.69,3,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),252,,,,,,,,,
NU45,6_Koop et al 2001,exp,Stylophora,pistillata,Pacific,2.94,0,2.94,5.14,0.571984436,0.53,0.190525589,0.11,3,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),252,,,,,,,,,
NU45,6_Koop et al 2001,exp,Stylophora,pistillata,Pacific,2.94,36.20,39.14,5.14,7.614785992,0.6,0.311769145,0.18,3,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),252,,,,,,,,,
NU51a,7_Marubini 1996 Ch 6,control,Montastrea,annularis,Atlantic,0.00,0,0.20,0.05,0,1.816848,0.1455264,0.065081385,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),30,,,,,,,,,
NU51a,7_Marubini 1996 Ch 6,exp,Montastrea,annularis,Atlantic,0.00,0,0.20,0.20,0,1.91952,0.1441872,0.064482476,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),30,,,,,,,,,
NU51a,7_Marubini 1996 Ch 6,exp,Montastrea,annularis,Atlantic,0.00,0,0.20,1.00,0,1.776672,0.3142656,0.140543849,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),30,,,,,,,,,
NU51a,7_Marubini 1996 Ch 6,exp,Montastrea,annularis,Atlantic,0.00,0,0.20,5.00,0,2.1413808,0.3901536,0.174481994,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),30,,,,,,,,,
NU51b,7_Marubini 1996 Ch 6,control,Porites,porites,Atlantic,0.00,0,0.20,0.05,0,2.883744,0.7213824,0.322612017,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),30,,,,,,,,,
NU51b,7_Marubini 1996 Ch 6,exp,Porites,porites,Atlantic,0.00,0,0.20,0.20,0,2.214144,0.6812064,0.304644763,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),30,,,,,,,,,
NU51b,7_Marubini 1996 Ch 6,exp,Porites,porites,Atlantic,0.00,0,0.20,1.00,0,2.401632,0.508896,0.22758521,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),30,,,,,,,,,
NU51b,7_Marubini 1996 Ch 6,exp,Porites,porites,Atlantic,0.00,0,0.20,5.00,0,2.526624,0.6151392,0.275098613,5,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),30,,,,,,,,,
NU53a,8_Marubini and Davies 1996,control,Porites,porites,Atlantic,0.20,0,0.20,0.05,4,1.973088,0.6013008,0.245480024,6,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),40,,,,,,,,,
NU53a,8_Marubini and Davies 1996,exp,Porites,porites,Atlantic,1.00,0,1.00,0.05,20,2.044512,0.2062368,0.084195821,6,Max Photosynthetic Rate,umol O2 h^(-1) cm^(-2),40,,,,,,,,,
