Reference,Study,Control,Genus,Species,Ocean,NO3,NH4,TOTAL N,PO4,TOTALN/P,Response level,SD,SE,N,pulse.press,Exposure in days,Response type,Unit,Coral Type,Family
NU03,1_Bednarz et al 2020,control,Stylophora,pistillata,Indian,0.5,0.2,0.7,0.2,3.5,2.042424,0.397111,0.198556,4,press,42,Symbiont Density ,10^6 cells per cm^2,branching,Pocilloporidae
NU03,1_Bednarz et al 2020,exp,Stylophora,pistillata,Indian,0.5,4.2,4.7,0.2,23.5,2.139394,0.393802,0.196901,4,press,42,Symbiont Density ,10^6 cells per cm^2,branching,Pocilloporidae
NU03,1_Bednarz et al 2020,exp,Stylophora,pistillata,Indian,0.5,4.2,4.7,0.2,23.5,0.756566,0.390493,0.195246,4,press,42,Symbiont Density ,10^6 cells per cm^2,branching,Pocilloporidae
NU04,2_Beraud et al 2013,control,Turbinaria,reniformis,Indian,0,0.7,0.7,0.5,1.4,0.867005,0.161179,0.072081,5,press,35,Symbiont Density ,10^6 cells per cm^2,plating,Dendrophylliidae
NU04,2_Beraud et al 2013,exp,Turbinaria,reniformis,Indian,0,3.4,3.4,0.5,6.8,0.592893,0.090805,0.040609,5,press,35,Symbiont Density ,10^6 cells per cm^2,plating,Dendrophylliidae
NU10,3_Courtial et al 2018,control,Pocillopora,damicornis,Pacific,0.5,0,0.5,0.1,5,0.934043,0.240426,0.107522,5,press,63,Symbiont Density ,10^6 cells per cm^2,branching,Pocilloporidae
NU10,3_Courtial et al 2018,exp,Pocillopora,damicornis,Pacific,0.1,0,0.1,0.05,2,0.546809,0.106383,0.047576,5,press,63,Symbiont Density ,10^6 cells per cm^2,branching,Pocilloporidae
NU10,3_Courtial et al 2018,exp,Pocillopora,damicornis,Pacific,3,0,3,0.5,6,0.889262,0.074568,0.033348,5,press,63,Symbiont Density ,10^6 cells per cm^2,branching,Pocilloporidae
NU13a,4_Devlin 2015 Chapter 4,control,Pocillopora,damicornis,Atlantic,0,0,1.5,0,0,0.908203,0.15625,0.036828,18,press,32,Symbiont Density ,10^6 cells per cm^2,branching,Pocilloporidae
NU13a,4_Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,5,0,5,0,5,1.353516,0.210938,0.049718,18,press,32,Symbiont Density ,10^6 cells per cm^2,branching,Pocilloporidae
NU13a,4_Devlin 2015 Chapter 4,exp,Pocillopora,damicornis,Atlantic,10,0,10,0,10,1.513672,0.300781,0.070895,18,press,32,Symbiont Density ,10^6 cells per cm^2,branching,Pocilloporidae
